Date,Net Amount,Store Ticket Count
2019-11-17,6134,54
2019-11-18,7238,60
2019-11-19,8159,52
2019-11-20,3402,37
2019-11-21,3836,42
2019-11-22,4608,54
2019-11-23,11030,54
2019-11-24,2662,32
2019-11-25,5603,63
2019-11-26,9165,63
2019-11-27,7994,59
2019-11-29,4423,56
2019-11-30,4871,70
2019-12-01,5822,57
2019-12-02,4633,58
2019-12-03,3795,41
2019-12-04,5779,61
2019-12-05,4596,47
2019-12-06,4536,56
2019-12-07,10125,75
2019-12-08,3337,47
2019-12-09,4215,62
2019-12-10,5294,40
2019-12-11,5569,37
2019-12-12,4580,43
2019-12-13,6237,54
2019-12-14,9443,69
2019-12-15,3265,38
2019-12-16,5375,56
2019-12-17,5038,48
2019-12-18,4615,53
2019-12-19,5774,57
2019-12-20,6512,64
2019-12-21,5797,65
2019-12-22,2835,27
2019-12-23,8946,75
2019-12-24,2023,27
2019-12-26,5594,62
2019-12-27,9252,82
2019-12-28,5504,51
2019-12-29,5255,46
2019-12-30,7505,93
2019-12-31,9298,91
2020-01-02,8981,65
2020-01-03,8186,70
2020-01-04,10397,82
2020-01-05,2848,39
2020-01-06,8012,73
2020-01-07,4904,63
2020-01-08,4704,57
2020-01-09,4609,46
2020-01-10,5556,47
2020-01-11,7799,68
2020-01-12,3598,46
2020-01-13,7568,50
2020-01-14,5442,48
2020-01-15,4603,45
2020-01-16,6625,43
2020-01-17,3605,41
2020-01-18,12559,79
2020-01-19,3768,30
2020-01-20,8319,85
2020-01-21,5444,45
2020-01-22,4824,35
2020-01-23,4115,40
2020-01-24,7551,74
2020-01-25,11452,87
2020-01-26,4114,52
2020-01-27,6042,43
2020-01-28,3488,42
2020-01-29,5607,50
2020-01-30,3976,39
2020-01-31,7804,62
2020-02-01,10016,92
2020-02-02,4399,42
2020-02-03,5075,52
2020-02-04,4814,47
2020-02-05,6276,39
2020-02-06,7960,52
2020-02-07,7149,72
2020-02-08,9438,79
2020-02-09,5064,54
2020-02-10,5826,49
2020-02-11,3833,33
2020-02-12,4798,38
2020-02-13,6283,38
2020-02-14,7952,53
2020-02-15,14701,85
2020-02-16,5904,61
2020-02-17,7622,69
2020-02-18,4580,38
2020-02-19,5554,32
2020-02-20,4709,40
2020-02-21,6311,63
2020-02-22,8288,103
2020-02-23,3112,40
2020-02-24,5911,64
2020-02-25,7796,61
2020-02-26,5404,47
2020-02-27,3573,58
2020-02-28,8439,71
2020-02-29,12494,104
2020-03-01,5634,67
2020-03-02,5399,58
2020-03-03,6038,49
2020-03-04,7403,45
2020-03-05,3979,49
2020-03-06,6492,75
2020-03-07,11072,97
2020-03-08,4798,50
2020-03-09,7856,71
2020-03-10,4478,49
2020-03-11,9118,59
2020-03-12,6951,50
2020-03-13,5560,50
2020-03-14,4600,56
2020-03-15,2834,45
2020-03-16,4900,47
2020-03-17,3282,36
2020-03-18,1999,26
